Public Food Key,Classification,Food Name,Price ($/100g), Price / item ,Weight / item (g),"Energy with dietary fibre, equated 
(kJ)","Energy, without dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols 
(g)","Aluminium (Al) 
(ug)","Antimony (Sb) 
(ug)","Arsenic (As) 
(ug)","Cadmium (Cd) 
(ug)","Calcium (Ca) 
(mg)","Chromium (Cr) 
(ug)","Chloride (Cl) 
(mg)","Cobalt (Co) 
(ug)","Copper (Cu) 
(mg)","Fluoride (F) 
(ug)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Lead (Pb) 
(ug)","Magnesium (Mg) 
(mg)","Manganese (Mn) 
(mg)","Mercury (Hg) 
(ug)","Molybdenum (Mo) 
(ug)","Nickel (Ni) 
(ug)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Sodium (Na) 
(mg)","Sulphur (S) 
(mg)","Tin (Sn) 
(ug)","Zinc (Zn) 
(mg)","Vitamin A retinol equivalents 
(ug)","Thiamin (B1) 
(mg)","Riboflavin (B2) 
(mg)","Niacin derived equivalents 
(mg)","Pantothenic acid (B5) 
(mg)","Pyridoxine (B6) 
(mg)","Biotin (B7) 
(ug)","Cobalamin (B12) 
(ug)","Dietary folate equivalents 
(ug)","Vitamin C 
(mg)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Alpha tocotrienol 
(mg)","Beta tocopherol 
(mg)","Beta tocotrienol 
(mg)","Delta tocopherol 
(mg)","Delta tocotrienol 
(mg)","Gamma tocopherol 
(mg)","Gamma tocotrienol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated 
(%T)","Total undifferentiated fatty acids 
(%T)","Total trans fatty acids, imputed 
(%T)","Total saturated fatty acids, equated 
(g)","Total monounsaturated fatty acids, equated 
(g)","Total polyunsaturated fatty acids, equated 
(g)","Total long chain omega 3 fatty acids, equated 
(mg)","Total undifferentiated fatty acids, mass basis basis 
(mg)","Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
F000506,18101,"Beef, boneless dice or strips, untrimmed, casseroled, no added fat", $2.60 , $26.00 ,1000,763,763,61.6,36.7,3.7,0,0,0,0,0,,,,,5,,,,0.106,,0.8,2.27,,21,0,,,,208,250,25.2,28,,,7.58,2,0.018,0.125,9.06,0.4,0.1,,0.9,18,1,4.55,0.5,,0,,0,,0,,0.55,,,,,,1.35,1.52,0.44,90.03,68,140.41,0,72
F000505,18101,"Beef, boneless dice or strips, lean, stir-fried, no added fat", $2.60 , $26.00 ,1000,648,648,65.8,31.5,3,0,0,0,0,0,,,,,4,,,,0.1,,1.7,2.8,,23,0,,,,260,360,7.5,47,,,7.2,2,0.03,0.08,7.34,0.34,0.06,,1.3,25,0,0.7,0.7,,0,,0,,0,,0.7,,,,,,0.98,1.36,0.37,88.563,65,84.9,0,77
F000504,18101,"Beef, boneless dice or strips, lean, raw", $2.60 , $26.00 ,1000,555,555,71.7,27.6,2.4,0,0,0,0,0,,,,,4,,,,0.08,,1.2,1.7,,24,0,,,,240,340,19,38,,,5.7,2,0.03,0.11,6.79,0.3,0.2,,1.1,21,1,3.8,0.5,,0,,0,,0,,0.5,,,,,,0.84,0.91,0.32,67.785,48,81.02,0,54
F000503,18101,"Beef, boneless dice or strips, lean, casseroled, no added fat", $2.60 , $26.00 ,1000,745,745,62,37,3.1,0,0,0,0,0,,,,,5,,,,0.107,,0.8,2.28,,21,0,,,,210,251,25.5,28,,,7.66,2,0.018,0.126,9.12,0.4,0.1,,0.9,18,1,4.59,0.5,,0,,0,,0,,0.54,,,,,,1.12,1.22,0.43,90.689,64,108.4,0,72
F007201,26101,"Potato crisps or chips, salt & vinegar flavoured", $2.67 , $2.40 ,90,2097,2068,2.3,6.8,32.6,3.6,0,1.4,0,43.6,,,,,22,3.2,,,0.188,,5.5,1,,64,0.44,,8,,128,1200,1.6,970,,,0.72,0,0.195,0.05,1.99,0.36,0.06,,0,46,24,0,6.7,,0.1,,0,,0.2,,6.77,25.15,8.85,0,,0.2,7.84,20.42,2.76,0,,62.36,0,0
F007198,26101,"Potato crisps or chips, reformed, salted", $2.67 , $2.40 ,90,2314,2292,3.7,5.7,34.1,2.8,0,1.9,0,55.1,,,,,54,,,,,,0,1.25,,46,,,,,125,700,0.3,430,,,0.61,1,0.16,0.06,4.46,,0.7,,0,30,10,0,8.6,,,,,,,,8.6,24.03,30.27,0,,1.2,7.83,14.52,9.86,0,,390.81,0,0
F007193,26101,"Potato crisps or chips, plain, salted", $2.67 , $2.40 ,90,2140,2112,1.8,6,33.3,3.2,0,0.9,0,45.8,,,0,8.6,21,2.7,1107,,0.245,0,4.9,1.2,,60,0.405,0,11.6,24,162,1250,0.3,592,,0,1,0,0.16,0.01,2.12,0.81,0.03,1.7,0,67,23,0,8.6,,0,,0.2,,0.3,,8.63,23.55,8.76,0,,0.3,7.5,21.39,2.79,0,,108.35,0,0
F007189,26101,"Potato crisps or chips, flavoured (other than salt & vinegar)", $2.67 , $2.40 ,90,2092,2064,2.3,6.8,32.5,3.6,0,1.4,0.2,43.6,,,,,24,5.2,,,0.212,,5.4,1.85,,60,0.505,,19,,155,1350,1.6,664,,,0.84,0,0.195,0.05,1.99,0.36,0.06,,0,46,24,0,6.7,,0.1,,0,,0.2,,6.77,22.86,8.91,0,,1,7.1,20.98,2.77,0,,310.57,0,0
F002466,19401,"Cheese, haloumi", $2.67 , $26.67 ,1000,1050,1050,51.1,21.3,17.1,0,0,1.8,0,1.8,,,,,620,,,,0.06,,8,0.2,,18,0.03,,,,510,77,12,2900,,,3,210,0.06,0.4,5.19,,0.1,,0.5,40,0,0.1,0.6,,,,,,,,0.6,68.28,4.64,0.28,0,2.2,11.03,4.02,0.75,45.247,0,358.74,0,53
F003954,15501,"Fish, white flesh, crumbed, packaged frozen, baked, no added fat", $2.67 , $2.67 ,100,856,852,57.1,11.8,10,0.5,0,1.7,0,16.7,,0,,1,21,5.3,503,,0.052,,10.7,0.5,0,24,0.357,74.2,6.4,7,187,243,29,383,,,0.49,1,0.07,0.02,3.34,,0.12,,0.5,1,0,0.3,3.2,,,,,,,,3.22,11.8,24,2.8,,2,1.12,5.94,2.28,266,,191.9,0,23
F003950,15501,"Fish, white flesh, battered, packaged frozen, baked, no added fat", $2.67 , $2.67 ,100,820,816,55,12.2,7,0.5,0,1.6,0,20.6,,,,,21,5.3,503,,,,10.7,0.5,,23,0.357,,6.4,7,187,243,29,383,,,0.4,1,0.05,0,3.34,,0.12,,0.5,1,0,0.3,3.2,,,,,,,,3.22,11.6,26.7,1.8,,2,0.77,3.93,1.78,119.7,,134.33,0,27
F006111,22204,"Nut, pecan, raw, unsalted", $2.73 , $27.33 ,1000,2973,2906,3.5,9.8,71.9,8.4,0,4.3,0,4.9,,,,,51,,0,,0.41,0,0,2.4,,110,5.1,,,,290,500,2,3,87,,3.9,4,0.42,0.18,3.56,1.5,0.26,25,0,22,1,0,4.3,,,,,,13,,5.6,6.6,36.3,0,,0,4.54,39.32,24.95,0,,21.31,0,0
F008360,15101,"Snapper, fillet, steamed, no added fat", $2.75 , $27.50 ,1000,554,554,68.6,27.8,2.2,0,0,0,0,0,,,,,135,,0,,0,479.45,41.1,0.33,,35,0,,,,380,492,38.4,93,,,0.77,6,0.148,0.068,12.18,0.55,0.34,4.9,3.2,0,1,2.59,0.8,,0,,0,,0,,0.82,,,,,,0.64,0.44,0.45,363.616,,30.53,0,84
F008359,15101,"Snapper, fillet, raw", $2.75 , $27.50 ,1000,404,404,77,20.3,1.6,0,0,0,0,0,,,,,123,,0,,0,350,40,0.3,,32,0,,,,347,449,35,85,,,0.7,5,0.12,0.05,8.89,0.4,0.28,3.6,2.5,0,1,2.1,0.6,,0,,0,,0,,0.6,41.4,29.4,23.7,,2,0.46,0.32,0.33,265.44,,22.29,0,61
F008358,15101,"Snapper, fillet, baked, no added fat", $2.75 , $27.50 ,1000,554,554,68.6,27.8,2.2,0,0,0,0,0,,,,,168,,0,,0,479.45,52,0.41,,44,0,,,,475,615,47.9,116,,,0.96,6,0.148,0.065,12.18,0.55,0.34,4.9,3.1,0,1,2.59,0.8,,0,,0,,0,,0.82,,,,,,0.64,0.44,0.45,363.616,,30.53,0,84
F002405,19401,"Cheese, blue vein", $2.75 , $27.50 ,1000,1582,1582,41.4,20.9,32.4,0,0,0,0,0,,,,,510,,,,0.025,,23,0.17,,24,0.03,,,,320,88,5,1090,,,2.95,337,0.038,0.415,5.82,,0.12,,1.3,50,0,0.1,0.8,,,,,,,,0.8,67.6,3,0.1,,3.1,20.71,9.04,0.92,30.637,,949.74,0,100
F007819,18603,"Salami, pepperoni", $2.80 , $28.00 ,1000,1774,1774,35.2,23.5,36.1,0,0,0.8,0,1.6,,,1.8,0.5,22,,,,0.09,,2,2.8,0.8,27,0.06,0,,,220,290,24,1400,,,4.02,16,0.36,0.21,8.47,,0.5,,1.9,0,0,0,0.2,,,,,,,,0.23,39,7.2,0.4,,0.7,13.38,18.86,2.47,137.18,,240.06,0,114
F007817,18603,"Salami, milano", $2.80 , $28.00 ,1000,1781,1781,34.6,21.7,36.9,0,0,1,0,2.2,,,1.8,0.5,28,,,,,,2,2.1,0.8,24,0,0,,,220,280,24,1495,,,4.02,7,0.12,0.21,8.81,,0.5,,1.9,0,0,0,0.2,,,,,,,,0.23,33,10.2,0.4,,0.7,11.57,20.33,3.58,140.22,,245.38,0,102
F007816,18603,"Salami, mettwurst", $2.80 , $28.00 ,1000,1791,1791,36,21.9,37.5,0,0,0.5,0,0.8,,,1.8,0.5,18,,,,0.1,,2,2.7,0.8,18,,0,,,220,245,24,1535,,,3.56,7,0.26,0.18,8.34,,0.5,,1.9,0,0,0,0.2,,,,,,,,0.23,35,11.2,0.4,,0.7,12.47,19.59,3.99,142.5,,249.38,0,90
F007815,18603,"Salami, hungarian", $2.80 , $28.00 ,1000,1783,1783,37.3,21.6,37.4,0,0,0,0,0.9,,,1.8,0.5,22,,,,0.09,,2,2.4,0.8,21,0,0,,,220,265,24,1730,,,3.46,5,0.3,0.18,8.79,,0.5,,1.9,0,0,0,0.2,,,,,,,,0.23,34,10.2,0.4,,0.7,12.08,20.25,3.62,142.12,,248.71,0,96
F007814,18603,"Salami, danish", $2.80 , $28.00 ,1000,1858,1858,36.5,19.6,40.2,0,0,0.8,0,1.2,,,1.8,0.5,20,,,,0.08,,2,1.5,0.8,19,0.05,0,,,200,265,24,1485,,,3.16,8,0.18,0.18,7.41,,0.5,,1.9,0,0,0,0.2,,,,,,,,0.23,36,10.03,0.4,,0.7,13.75,21,3.83,152.76,,267.33,0,108
F007818,18603,"Salami, all varieties, raw", $2.80 , $28.00 ,1000,1412,1408,42.1,21.9,27.4,0.5,0,0,0,0.4,240,,0,0,21,5.8,,,0.072,,3.8,1.7,0,23,0.37,,1.7,,240,360,24,1500,,,2.9,0,0.5,0.19,8.5,0.9,0.11,,0.5,0,0,0,0,,0,,0,,0,,0,34.3,15.7,0.2,,0.5,8.93,12.21,4.09,52.06,,130.15,0,91
F004213,24302,"Ginger, peeled, fresh, raw", $2.90 , $29.00 ,1000,132,109,90.4,0.8,0.4,2.8,0,1.7,0,4.8,,,,,17,,,,,,0,0.6,,28,,,,,34,240,0.7,11,,,0.4,6,0.01,0.03,0.99,,0.16,,0,11,3,0,0.3,,,,,,,,0.26,0,0,0,,0,0,0,0,0,,0,0,0
F004212,24302,"Ginger, peeled, fresh, fried, no added fat", $2.90 , $29.00 ,1000,160,133,88.3,1,0.5,3.4,0,2.1,0,5.8,,,,,21,,,,,,0,0.73,,34,,,,,41,293,0.8,13,,,0.49,6,0.011,0.035,1.21,,0.18,,0,11,3,0,0.3,,,,,,,,0.3,,,,,,0,0,0,0,,0,0,0
F008227,24802,"Shallot, peeled, fresh, raw", $3.00 , $0.60 ,20,107,83,92.2,1.5,0.1,2.9,0,3.1,0,3.1,,,,,95,,150,,0.03,0,0.3,0.41,,33,0.39,,,,36,270,0,6,,,0.3,73,0.04,0.11,0.28,0,0.1,2.1,0,25,22,0,0.2,,,,,,,,0.24,0,0,0,,0,0,0,0,0,,0,0,0
F008226,24802,"Shallot, peeled, fresh, fried, no added fat", $3.00 , $0.60 ,20,172,134,87.4,2.4,0.2,4.7,0,5,0,5,,,,,153,,242,,0.048,0,0.4,0.66,,53,0.629,,,,58,435,0,9,,,0.48,106,0.058,0.168,0.46,0,0.15,3.4,0,32,30,0,0.4,,,,,,,,0.37,,,,,,0,0,0,0,,0,0,0
F007828,15101,"Salmon, Atlantic, fillet, steamed, no added fat", $3.00 , $30.00 ,1000,1135,1135,55.6,24.1,19.6,0,0,0,0,0,,1,148.6,0,57,19.8,,0,0.047,,0,0.37,2.2,30,2.894,3.5,0,14,275,366,27.3,32,243,0,0.49,10,0.085,0.106,7.17,,0.51,,2.2,0,0,5.65,2.9,,,,0,,0.2,,2.93,,,,,,4.44,8.31,5.05,2579.828,398,564.78,0,74
F007827,15101,"Salmon, Atlantic, fillet, raw", $3.00 , $30.00 ,1000,965,965,62.3,20.5,16.7,0,0,0,0,0,,0.9,126.3,0,48,16.9,,0,0.04,,0,0.31,1.9,28,2.46,3,0,12,260,366,23.2,32,207,0,0.42,10,0.09,0.1,6.09,,0.55,,2.2,0,0,6,2.5,,,,0,,0.2,,2.49,25.14,28.62,14.617,2.25,3.2,3.77,7.07,4.29,2192.854,338,480.06,0,63
F007826,15101,"Salmon, Atlantic, fillet, grilled, no added fat", $3.00 , $30.00 ,1000,1078,1078,57.8,22.9,18.6,0,0,0,0,0,,1,141.2,0,54,18.8,,0,0.045,,0,0.35,2.1,32,2.748,3.3,0,13,290,409,26,36,231,0,0.47,9,0.096,0.112,6.81,,0.55,,2,0,0,5.36,2.8,,,,0,,0.2,,2.78,,,,,,4.21,7.9,4.8,2450.116,378,536.38,0,71
F006092,22204,"Nut, cashew, roasted, unsalted", $3.00 , $30.00 ,1000,2530,2502,2.9,17,47.7,3.4,0,6.5,0,26.8,0,,0,,42,,,,2.2,,2.4,5.3,0,260,1.8,,27,,480,610,17,7,,,5.5,0,0.42,0.05,6.8,0.62,0.07,,0,53,0,0,0.4,,0,,0,,3.7,,0.77,17.9,20.8,0,,0,8.16,27.72,9.48,0,,0,0,0
F006090,22204,"Nut, cashew, roasted, salted", $3.00 , $30.00 ,1000,2554,2530,2.8,17,48.5,3,0,6.4,0,26.7,0,,0,,34,,,,2,,2.8,4.9,0,240,1.6,,40,,460,630,17,270,,,5,0,0.42,0.05,6.81,0.62,0.07,,0,53,0,0,0.8,,0,,0,,2.9,,1.09,19.4,20.7,0,,0,9,27.31,9.6,0,,0,0,0
F006088,22204,"Nut, cashew, raw, unsalted", $3.00 , $30.00 ,1000,2540,2493,3.5,17,49.2,5.9,0,5.5,0,22.9,,,,,34,,0,,1.9,0,0,5,,250,1.4,,,,530,550,33,11,160,,5.5,1,0.64,0.19,7.31,1.9,0.35,21,0,25,0,0,0.3,,,,,,4.3,,0.73,17.8,16.06,0,,0,8.37,31.14,7.55,0,,14.58,0,0
F003574,13605,"Doughnut, iced", $3.00 , $9.00 ,300,1517,1500,23.6,6.7,15.9,1.7,0,22.9,22.7,48.2,,,,,21,,340,,0.13,0,0,0.8,,22,0.39,,,,89,94,6,414,40,,0.4,0,0.08,0.07,2.41,0.17,0.03,3.3,0.1,20,0,0,0.2,,,,,,,,0.24,45.08,9,0,,7.3,6.86,6.02,1.37,0,,1110.31,0,33
F002257,28401,"Caramels, soft & hard", $3.00 , $3.00 ,100,1620,1608,6.2,2.5,11.4,1.5,0,54.6,49.2,74.5,,,,,67,,380,,0.08,48,20,0.3,,11,0.09,,,,65,120,0,250,30,,0.4,76,0,0.11,0.54,0.21,0.02,1.6,0,1,0,0,0.5,,,,,,,,0.49,79.9,2.13,0,,6.2,8.65,1.42,0.23,0,,675.79,0,14
F000891,18101,"Beef, steak, with bone, T-bone, untrimmed, raw", $3.00 , $30.00 ,1000,988,988,60.9,21.3,16.9,0,0,0,0,0,,,,,6,,,,0.112,,1.4,1.97,,22,0,,,,194,325,5.2,49,,,3.08,12,0.037,0.177,8.67,0.29,0.18,,1,18,1,3.09,0.8,,0,,0,,0,,0.85,,,,,,7.02,7.74,0.5,31.908,166,818.34,0,58
F000890,18101,"Beef, steak, with bone, T-bone, untrimmed, grilled, no added fat", $3.00 , $30.00 ,1000,984,984,57.1,26.3,14.5,0,0,0,0,0,,,,,9,,,,0.079,,1.9,1.94,,23,0,,,,235,311,10.3,45,,,6.46,6,0.024,0.016,4.71,0.32,0.19,,1.5,22,0,0.68,0.8,,0,,0,,0,,0.82,,,,,,5.44,7,0.58,76.399,139,683.5,0,69
F000889,18101,"Beef, steak, with bone, T-bone, semi-trimmed, raw", $3.00 , $30.00 ,1000,738,738,66.9,22.8,9.4,0,0,0,0,0,,,,,6,,,,0.131,,1.3,2.09,,25,0,,,,212,352,6.1,53,,,3.44,7,0.044,0.198,9.51,0.3,0.16,,0.7,20,1,3.45,0.9,,0,,0,,0,,0.87,,,,,,3.88,4.26,0.35,33.779,100,448.27,0,58
F000888,18101,"Beef, steak, with bone, T-bone, semi-trimmed, grilled, no added fat", $3.00 , $30.00 ,1000,837,837,60.3,27.5,10,0,0,0,0,0,,,,,9,,,,0.088,,1.8,2.05,,24,0,,,,250,327,11.4,47,,,7.03,4,0.026,0.01,4.84,0.34,0.17,,1.5,23,0,0.69,0.8,,0,,0,,0,,0.77,,,,,,3.66,4.76,0.51,80.797,112,437.97,0,69
F000887,18101,"Beef, steak, with bone, T-bone, lean, raw", $3.00 , $30.00 ,1000,487,487,72.9,24.4,2,0,0,0,0,0,,,,,6,,,,0.15,,1.2,2.2,,27,0,,,,230,380,7,57,,,3.8,2,0.05,0.22,10.36,0.3,0.14,,0.4,21,1,3.8,0.9,,0,,0,,0,,0.9,41.02,11.19,1.986,1.93,4.3,0.74,0.78,0.2,35.656,34,77.02,0,58
F000886,18101,"Beef, steak, with bone, T-bone, lean, grilled, no added fat", $3.00 , $30.00 ,1000,637,637,64.7,29.2,3.8,0,0,0,0,0,,,,,10,,,,0.1,,1.7,2.2,,26,0,,,,270,350,13,49,,,7.8,2,0.03,0,5.02,0.35,0.14,,1.4,25,0,0.7,0.7,,0,,0,,0,,0.7,35.72,11.86,2.486,2.14,3,1.25,1.72,0.41,86.76,75,104.98,0,70
F000885,18101,"Beef, steak, with bone, T-bone or blade, untrimmed, raw", $3.00 , $30.00 ,1000,848,848,64.1,21.2,13.2,0,0,0,0,0,,,,,5,,,,0.109,,1.4,1.9,,22,0,,,,190,322,7.9,51,,,3.63,9,0.045,0.18,7.22,0.33,0.16,,1.1,19,1,3.28,0.7,,0,,0,,0,,0.69,,,,,,5.42,5.97,0.49,57.294,138,624.18,0,53
F000884,18101,"Beef, steak, with bone, T-bone or blade, untrimmed, grilled, no added fat", $3.00 , $30.00 ,1000,888,888,59.4,28.4,10.9,0,0,0,0,0,,,,,8,,,,0.129,,1.8,2.2,,26,0,,,,241,345,11.1,46,,,6.03,5,0.026,0.012,4.97,0.35,0.16,,1.4,23,0,0.68,0.8,,0,,0,,0,,0.79,,,,,,4.08,5.24,0.5,66.187,110,494.5,0,74
F000883,18101,"Beef, steak, with bone, T-bone or blade, semi-trimmed, raw", $3.00 , $30.00 ,1000,668,668,68.4,22.2,7.8,0,0,0,0,0,,,,,5,,,,0.122,,1.3,1.97,,24,0,,,,202,340,8.7,54,,,3.91,5,0.05,0.195,7.71,0.34,0.14,,0.9,20,1,3.54,0.7,,0,,0,,0,,0.69,,,,,,3.17,3.49,0.39,60.146,92,358.91,0,52
F000882,18101,"Beef, steak, with bone, T-bone or blade, semi-trimmed, grilled, no added fat", $3.00 , $30.00 ,1000,789,789,61.6,29.3,7.9,0,0,0,0,0,,,,,8,,,,0.137,,1.8,2.28,,26,0,,,,250,357,11.9,47,,,6.39,4,0.027,0.007,5.06,0.35,0.14,,1.3,24,0,0.69,0.8,,0,,0,,0,,0.75,,,,,,2.88,3.72,0.45,68.71,92,328.36,0,75
F000881,18101,"Beef, steak, with bone, T-bone or blade, lean, raw", $3.00 , $30.00 ,1000,480,480,72.8,23.3,2.3,0,0,0,0,0,,,,,5,,,,0.135,,1.2,2.05,,26,0,,,,215,360,9.5,56,,,4.2,2,0.055,0.21,8.21,0.34,0.13,,0.6,21,1,3.8,0.7,,0,,0,,0,,0.7,,,,,,0.83,0.89,0.28,63.257,43,82.36,0,52
F000880,18101,"Beef, steak, with bone, T-bone or blade, lean, grilled, no added fat", $3.00 , $30.00 ,1000,643,643,64.8,30.6,3.4,0,0,0,0,0,,,,,8,,,,0.148,,1.7,2.4,,28,0,,,,265,375,13,48,,,6.9,2,0.03,0,5.2,0.36,0.12,,1.2,25,0,0.7,0.7,,0,,0,,0,,0.7,,,,,,1.11,1.5,0.38,72.268,64,84.51,0,76
F000296,28103,"Bar, honeycomb centre, milk chocolate-coated", $3.00 , $3.00 ,100,1772,1769,2.1,2.6,16.2,0.3,0,64.2,55.6,70,,,,,76,,260,,0.12,13,0,0.9,,31,0.27,,,,110,340,0,260,31,,0.3,7,0.06,0.4,4.45,0.56,0.03,3.2,0.1,4,0,0,0.1,,,,,,,,0.1,96.3,0.8,0,,0.5,14.91,0.45,0.12,0,,83.63,8,0
F007850,15101,"Salmon, Pacific King, fillet, steamed, no added fat", $3.00 , $30.00 ,1000,1352,1352,51,21.3,26.8,0,0,0,0,0,,,50.6,0,10,,,,0.035,,4.7,0.27,0,28,,3.5,,,255,380,28.2,30,,,0.49,40,0.16,0.127,11.47,2.8,0.51,,0.7,0,2,5.65,4.9,,,,,,,,4.92,,,,,,6.65,10.31,7.16,4024.504,,72.3,0,74
F007849,15101,"Salmon, Pacific King, fillet, skinless, raw", $3.00 , $30.00 ,1000,1149,1149,58.3,18.1,22.8,0,0,0,0,0,,,43,0,9,,,,0.03,,5,0.23,0,27,,3,,,241,380,24,30,,,0.42,40,0.17,0.12,9.75,2.38,0.54,,0.7,0,2,6,4.2,,,,,,,,4.18,27.6,29.7,16.7,,0.3,5.65,8.77,6.08,3420.828,,61.45,0,63
F007848,15101,"Salmon, Pacific King, fillet, skinless, grilled, no added fat", $3.00 , $30.00 ,1000,1284,1284,53.4,20.2,25.4,0,0,0,0,0,,,48,0,10,,,,0.034,,5.3,0.26,0,30,,3.4,,,269,424,26.8,33,,,0.47,38,0.18,0.134,10.89,2.66,0.54,,0.6,0,2,5.36,4.7,,,,,,,,4.67,,,,,,6.32,9.8,6.8,3822.154,,68.66,0,70
F002809,18301,"Chicken, thigh, lean flesh, skin & fat, raw", $3.15 , $31.50 ,1000,898,898,65.9,16,16.9,0,0,0,0,0,,,,,7,,56,,0.041,0,0.6,0.6,,19,0.015,,,,148,250,14.5,54,,,1.12,44,0.083,0.114,6.91,0.75,0.2,3,0.5,22,0,4.69,1.1,,,,,,,,1.15,,,,,,5.12,8.42,2.28,5.878,,55.39,0,88
F002808,18301,"Chicken, thigh, lean flesh, skin & fat, casseroled, no added fat", $3.15 , $31.50 ,1000,1004,1004,59.3,24.1,16.1,0,0,0,0,0,,,,,14,,60,,0.075,0,2,0.88,,20,0.02,,,,194,209,27.1,58,,,1.87,33,0.064,0.202,10.22,0.74,0.31,4.4,0.7,0,0,6.2,0.6,,,,,,,,0.64,,,,,,4.89,8.09,2.18,0,,82.09,0,109
F002807,18301,"Chicken, thigh, lean flesh, skin & fat, baked, no added fat", $3.15 , $31.50 ,1000,947,947,60.8,23,15,0,0,0,0,0,,,,,22,,77,,0.07,0,2,0.92,,25,0.022,,,,233,268,28.6,73,,,1.85,41,0.049,0.299,11.06,0.76,0.27,4.4,0.7,0,0,6.19,0.6,,,,,,,,0.6,,,,,,4.6,7.53,2.03,0,,75.79,0,126
F002806,18301,"Chicken, thigh, lean flesh, raw", $3.15 , $31.50 ,1000,436,436,77.2,19.1,3,0,0,0,0,0,0,,0,,6,,69,,0.042,0,0,0.56,0,24,0.011,,5.4,,180,320,21,64,,,1.4,13,0.12,0.12,8.23,0.95,0.24,3.7,0.4,32,0,3.7,1.4,,0,,0,,0,,1.4,30.5,18.4,0.3,,0.3,0.86,1.34,0.52,8.505,,8.5,0,88
F009806,18301,"Chicken, thigh, lean flesh, fried, no added fat", $3.15 , $31.50 ,1000,662,662,66,27.6,5.2,0,0,0,0,0,0,,0,,8,,,,0.06,,0,0.82,0,35,0.016,,7.7,,260,440,32,84,,,2,10,0.12,0.08,11.93,1,0.05,,0.3,26,0,6,1.5,,0,,0,,0,,1.5,34.7,17.2,0,,0.3,1.7,2.19,0.84,0,,14.74,0,150
F002805,18301,"Chicken, thigh, lean flesh, casseroled, no added fat", $3.15 , $31.50 ,1000,810,810,63.1,26.3,9.8,0,0,0,0,0,,,,,15,,64,,0.08,0,2.1,0.9,,22,0.02,,,,210,230,30,62,,,2.1,17,0.08,0.22,11.08,0.8,0.25,4.8,0.7,0,0,6,0.5,,,,,,,,0.47,32.9,14.6,0,,0.6,3.05,4.86,1.35,0,,55.57,0,100
F002804,18301,"Chicken, thigh, lean flesh, baked, no added fat", $3.15 , $31.50 ,1000,733,733,65.6,24.2,8.7,0,0,0,0,0,,,,,18,,84,,0.07,0,2.1,0.9,,26,0.02,,,,240,290,30,76,,,2,24,0.06,0.33,11.6,0.8,0.3,4.8,0.7,0,0,6,0.4,,,,,,,,0.36,32.7,14.8,0,,0.6,2.69,4.3,1.22,0,,49.33,0,120
F008373,24501,"Snow pea, fresh, raw", $3.16 , $31.60 ,1000,157,136,88.2,3,0.2,2.6,0,2.9,0,4.7,,,,,25,,50,,0.06,0,0,0.9,,36,0.32,,,,40,420,0,1,,,0.6,44,0.01,0.09,1.41,0.15,0.08,5.4,0,14,46,0,0,,,,,,,,0.05,0,0,0,,0,0,0,0,0,,0,0,0
F008372,24501,"Snow pea, fresh, fried, no added fat", $3.16 , $31.60 ,1000,196,170,85.2,3.8,0.2,3.2,0,3.6,0,5.9,,,,,31,,62,,0.075,0,0,1.12,,45,0.4,,,,50,525,0,1,,,0.75,50,0.011,0.107,1.77,0.19,0.1,6.8,0,14,49,0,0,,,,,,,,0.06,,,,,,0,0,0,0,,0,0,0
F008371,24501,"Snow pea, fresh, boiled, drained", $3.16 , $31.60 ,1000,169,147,87.3,3.2,0.2,2.8,0,3.1,0,5,,,,,26,,54,,0.064,0,0,0.92,,37,0.344,,,,39,406,0,1,,,0.61,43,0.009,0.087,1.52,0.16,0.06,5.8,0,10,37,0,0,,,,,,,,0.05,,,,,,0,0,0,0,,0,0,0
F007043,18103,"Pork, medallion or loin steak, untrimmed, raw", $3.20 , $32.00 ,1000,615,615,71.2,22.9,6.1,0,0,0,0,0,,,,,6,,59,,0.038,1.68,0.8,0.54,,25,0.005,,,,211,402,26,44,208,,1.48,2,0.798,0,13.56,0.97,0.54,2.3,0.3,54,0,0.74,0.2,,,,,,,,0.18,,,,,,2.12,2.63,0.71,12.223,,27.37,0,47
F007042,18103,"Pork, medallion or loin steak, untrimmed, fried, no added fat", $3.20 , $32.00 ,1000,891,891,58.3,33.2,8.8,0,0,0,0,0,,,,,6,,86,,0.055,2.43,0.9,0.63,,35,0.007,,,,276,497,37.8,58,302,,2.14,2,0.815,0,19.66,1.4,0.58,3.3,0.4,66,0,0.97,0.2,,,,,,,,0.22,,,,,,3.08,3.81,1.02,17.715,,39.66,0,68
